maquina,grupos,process,estado
\SPRMY01,S236.HORARIO,$RMSW,UP
\SPRMY01,RSC,$RSMD,UP
\SPRMY01,SPOOLER,$S,UP
\SPRMY01,SPOOLER,$S00,UP
\SPRMY01,DRIVERS.ATMMON,$S001,UP
\SPRMY01,DRIVERS.B24TA.SWA,$S005,UP
\SPRMY01,DRIVERS.B24TA.SWA,$S006,UP
\SPRMY01,DRIVERS.ATMMON,$S007,UP
\SPRMY01,SPOOLER,$S01,UP
\SPRMY01,SPOOLER,$S02,UP
\SPRMY01,SPOOLER,$S03,UP
\SPRMY01,SPOOLER,$S04,UP
\SPRMY01,SPOOLER,$S05,UP
\SPRMY01,SPOOLER,$S06,UP
\SPRMY01,SPOOLER,$S07,UP
\SPRMY01,SPOOLER,$S08,UP
\SPRMY01,PATHWAY,$S080,UP
\SPRMY01,PATHWAY,$S081,UP
\SPRMY01,NETBATCH,$S130,UP
\SPRMY01,DRIVERS.DIVISAS,$S141,UP
\SPRMY01,DRIVERS.DIVISAS,$S178,UP
\SPRMY01,DRIVERS.CANAL.SWA,$S596,UP
\SPRMY01,DRIVERS.CANAL.SWA,$S597,UP
\SPRMY01,DRIVERS.CANAL.SWA,$S598,UP
\SPRMY01,DRIVERS.CANAL.SWA,$S599,UP
\SPRMY01,DRIVERS.CANAL.SWD,$S870,UP
\SPRMY01,DRIVERS.CANAL.SWD,$S871,UP
\SPRMY01,DRIVERS.CANAL.SWA,$S987,UP
\SPRMY01,DRIVERS.CANAL.SWD,$S988,UP
\SPRMY01,DRIVERS.CANAL.SWD,$S989,UP
\SPRMY01,DRIVERS.CANAL.SWD,$S994,UP
\SPRMY01,NETBATCH,$SAUT,UP
\SPRMY01,NETBATCH,$SCI1,UP
\SPRMY01,NETBATCH,$SCP1,UP
\SPRMY01,ISA,$SENV,UP
\SPRMY01,S753_000.ARIES,$SEQEV,UP
\SPRMY01,PATHWAY,$SGINF,UP
\SPRMY01,SPOOLER,$SIR,UP
\SPRMY01,NETBATCH,$SL01,UP
\SPRMY01,NETBATCH,$SL02,UP
\SPRMY01,NETBATCH,$SL08,UP
\SPRMY01,NETBATCH,$SL11,UP
\SPRMY01,NETBATCH,$SL13,UP
\SPRMY01,NETBATCH,$SL15,UP
\SPRMY01,S753-SANS-GI.$PWM0,$SN00,UP
\SPRMY01,S753-SANS-GI.$PWM0,$SN01,UP
\SPRMY01,GGS.S145,$SNEX1,UP
\SPRMY01,S753-SANS-GI.$PHT2,$SNH0,UP
\SPRMY01,S753-SANS-GI.$PHT2,$SNH1,UP
\SPRMY01,S753-SANS-GI.$PHT2,$SNHA,UP
\SPRMY01,NETBATCH,$SNI1,UP
\SPRMY01,NETBATCH,$SNP2,UP
\SPRMY01,NETBATCH,$SNT1,UP
\SPRMY01,NETBATCH,$SNT2,UP
\SPRMY01,NETBATCH,$SNT3,UP
\SPRMY01,NETBATCH,$SNT4,UP
\SPRMY01,NETBATCH,$SNT5,UP
\SPRMY01,NETBATCH,$SNT9,UP
\SPRMY01,SPOOLER,$SPLS,UP
\SPRMY01,SPOOLER,$SPLS2,UP
\SPRMY01,NETBATCH,$SPNA,UP
\SPRMY01,PROGNOSIS,$STMY,UP
\SPRMY01,RSC,$TDD2,UP
\SPRMY01,GGS.Manager,$TEMGR,UP
\SPRMY01,GGS.Manager,$TEMGX,UP
\SPRMY01,SO,$TIME,UP
\SPRMY01,SO,$TMP,UP
\SPRMY01,VHS,$VHS0,UP
\SPRMY01,VHS,$VHS1,UP
\SPRMY01,VHS,$VHS10,UP
\SPRMY01,VHS,$VHS11,UP
\SPRMY01,VHS,$VHS12,UP
\SPRMY01,VHS,$VHS13,UP
\SPRMY01,VHS,$VHS14,UP
\SPRMY01,VHS,$VHS15,UP
\SPRMY01,VHS,$VHS16,UP
\SPRMY01,VHS,$VHS17,UP
\SPRMY01,VHS,$VHS19,UP
\SPRMY01,VHS,$VHS2,UP
\SPRMY01,VHS,$VHS3,UP
\SPRMY01,VHS,$VHS4,UP
\SPRMY01,VHS,$VHS5,UP
\SPRMY01,VHS,$VHS6,UP
\SPRMY01,VHS,$VHS7,UP
\SPRMY01,VHS,$VHS8,UP
\SPRMY01,VHS,$VHS9,UP
\SPRMY01,TMF,$XBK0,UP
\SPRMY01,TMF,$XBK1,UP
\SPRMY01,TMF,$XBK2,UP
\SPRMY01,TMF,$XBK3,UP
\SPRMY01,TMF,$XCAT,UP
\SPRMY01,SO,$XMM,UP
\SPRMY01,SO,$YMIOP,UP
\SPRMY01,PATHWAY,$ZAUT,UP
\SPRMY01,DRIVERS.BURO,$ZBN00,UP
\SPRMY01,DRIVERS.BURO,$ZBN01,UP
\SPRMY01,DRIVERS.BURO,$ZBN02,UP
\SPRMY01,DRIVERS.BURO,$ZBN03,UP
\SPRMY01,DRIVERS.BURO,$ZBN04,UP
\SPRMY01,DRIVERS.BURO,$ZBN05,UP
\SPRMY01,DRIVERS.BURO,$ZBN06,UP
\SPRMY01,DRIVERS.BURO,$ZBN07,UP
\SPRMY01,DRIVERS.BURO,$ZBN08,UP
\SPRMY01,DRIVERS.BURO,$ZBN09,UP
\SPRMY01,DRIVERS.BURO,$ZBN10,UP
\SPRMY01,DRIVERS.BURO,$ZBN11,UP
\SPRMY01,DRIVERS.BURO,$ZBN12,UP
\SPRMY01,DRIVERS.BURO,$ZBN13,UP
\SPRMY01,DRIVERS.BURO,$ZBN14,UP
\SPRMY01,DRIVERS.BURO,$ZBN15,UP
\SPRMY01,DRIVERS.BURO,$ZBN16,UP
\SPRMY01,DRIVERS.BURO,$ZBN17,UP
